project_type,location_tier,total_area_sqft,num_floors,structure_type,material_quality,num_workers,site_condition,cost_inr,duration_days
Infrastructure,Tier2,758,11,Steel Frame,Premium,34,Difficult,4386000.0,48.0
Infrastructure,Tier1,37765,13,RCC,Premium,64,Moderate,233449000.0,1256.0
Industrial,Tier2,47022,2,RCC,Basic,27,Difficult,78477000.0,1500.0
Commercial,Tier1,26632,8,Steel Frame,Basic,145,Easy,69781000.0,264.0
Commercial,Tier2,21483,9,Load Bearing,Premium,59,Difficult,98122000.0,805.0
Residential,Tier3,14798,14,Load Bearing,Standard,125,Easy,29806000.0,287.0
Industrial,Tier3,8452,6,Steel Frame,Premium,191,Moderate,34252000.0,68.0
Industrial,Tier2,28876,3,RCC,Standard,67,Difficult,78530000.0,788.0
Residential,Tier3,31686,8,Load Bearing,Basic,59,Moderate,40703000.0,1225.0
Commercial,Tier1,35538,12,Load Bearing,Premium,173,Difficult,203467000.0,553.0
Commercial,Tier1,10360,15,Steel Frame,Standard,156,Easy,49868000.0,134.0
Residential,Tier2,3722,16,Load Bearing,Standard,180,Moderate,10703000.0,55.0
Industrial,Tier2,6019,11,RCC,Standard,135,Moderate,16928000.0,92.0
Residential,Tier1,35892,7,Load Bearing,Standard,132,Easy,101877000.0,526.0
Residential,Tier3,10733,7,Prefabricated,Standard,116,Easy,21871000.0,123.0
Infrastructure,Tier1,33119,6,Steel Frame,Basic,70,Difficult,104620000.0,791.0
Commercial,Tier2,28698,18,Prefabricated,Standard,144,Easy,94683000.0,419.0
Commercial,Tier1,23523,17,Steel Frame,Premium,47,Difficult,190751000.0,1128.0
Industrial,Tier3,7153,13,Load Bearing,Premium,80,Difficult,25396000.0,241.0
Industrial,Tier2,11767,20,Load Bearing,Standard,164,Easy,31048000.0,197.0
Infrastructure,Tier2,8530,20,Steel Frame,Standard,116,Easy,29314000.0,181.0
Residential,Tier1,42030,13,Prefabricated,Standard,112,Easy,170618000.0,681.0
Industrial,Tier3,16031,17,Load Bearing,Basic,174,Difficult,27484000.0,284.0
Commercial,Tier1,47779,10,Steel Frame,Basic,97,Easy,140511000.0,909.0
Industrial,Tier2,50000,12,Steel Frame,Premium,165,Moderate,276932000.0,618.0
Residential,Tier1,15496,2,Steel Frame,Standard,165,Difficult,60920000.0,149.0
Commercial,Tier1,8231,3,RCC,Premium,23,Easy,36651000.0,507.0
